Symbol,Date,Close
AAPL,"Jan 2, 2018",43.07
AAPL,"Jan 3, 2018",43.06
AAPL,"Jan 4, 2018",43.26
AAPL,"Jan 5, 2018",43.75
AAPL,"Jan 8, 2018",43.59
AAPL,"Jan 9, 2018",43.58
AAPL,"Jan 10, 2018",43.57
AAPL,"Jan 11, 2018",43.82
AAPL,"Jan 12, 2018",44.27
AAPL,"Jan 16, 2018",44.05
AAPL,"Jan 17, 2018",44.78
AAPL,"Jan 18, 2018",44.82
AAPL,"Jan 19, 2018",44.62
AAPL,"Jan 22, 2018",44.25
AAPL,"Jan 23, 2018",44.26
AAPL,"Jan 24, 2018",43.56
AAPL,"Jan 25, 2018",42.78
AAPL,"Jan 26, 2018",42.88
AAPL,"Jan 29, 2018",41.99
AAPL,"Jan 30, 2018",41.74
AAPL,"Jan 31, 2018",41.86
AAPL,"Feb 1, 2018",41.95
AAPL,"Feb 2, 2018",40.13
AAPL,"Feb 5, 2018",39.12
AAPL,"Feb 6, 2018",40.76
AAPL,"Feb 7, 2018",39.89
AAPL,"Feb 8, 2018",38.79
AAPL,"Feb 9, 2018",39.1
AAPL,"Feb 12, 2018",40.68
AAPL,"Feb 13, 2018",41.09
AAPL,"Feb 14, 2018",41.84
AAPL,"Feb 15, 2018",43.25
AAPL,"Feb 16, 2018",43.11
AAPL,"Feb 20, 2018",42.96
AAPL,"Feb 21, 2018",42.77
AAPL,"Feb 22, 2018",43.13
AAPL,"Feb 23, 2018",43.88
AAPL,"Feb 26, 2018",44.74
AAPL,"Feb 27, 2018",44.6
AAPL,"Feb 28, 2018",44.53
AAPL,"Mar 1, 2018",43.75
AAPL,"Mar 2, 2018",44.05
AAPL,"Mar 5, 2018",44.21
AAPL,"Mar 6, 2018",44.17
AAPL,"Mar 7, 2018",43.76
AAPL,"Mar 8, 2018",44.24
AAPL,"Mar 9, 2018",45
AAPL,"Mar 12, 2018",45.43
AAPL,"Mar 13, 2018",44.99
AAPL,"Mar 14, 2018",44.61
AAPL,"Mar 15, 2018",44.66
AAPL,"Mar 16, 2018",44.51
AAPL,"Mar 19, 2018",43.83
AAPL,"Mar 20, 2018",43.81
AAPL,"Mar 21, 2018",42.82
AAPL,"Mar 22, 2018",42.21
AAPL,"Mar 23, 2018",41.24
AAPL,"Mar 26, 2018",43.19
AAPL,"Mar 27, 2018",42.09
AAPL,"Mar 28, 2018",41.62
AAPL,"Mar 29, 2018",41.95
AAPL,"Apr 2, 2018",41.67
