Symbol,Date,Close
GOOG,"Jan 2, 2018",53.25
GOOG,"Jan 3, 2018",54.12
GOOG,"Jan 4, 2018",54.32
GOOG,"Jan 5, 2018",55.11
GOOG,"Jan 8, 2018",55.35
GOOG,"Jan 9, 2018",55.31
GOOG,"Jan 10, 2018",55.13
GOOG,"Jan 11, 2018",55.28
GOOG,"Jan 12, 2018",56.11
GOOG,"Jan 16, 2018",56.09
GOOG,"Jan 17, 2018",56.6
GOOG,"Jan 18, 2018",56.49
GOOG,"Jan 19, 2018",56.88
GOOG,"Jan 22, 2018",57.79
GOOG,"Jan 23, 2018",58.5
GOOG,"Jan 24, 2018",58.21
GOOG,"Jan 25, 2018",58.52
GOOG,"Jan 26, 2018",58.79
GOOG,"Jan 29, 2018",58.78
GOOG,"Jan 30, 2018",58.18
GOOG,"Jan 31, 2018",58.5
GOOG,"Feb 1, 2018",58.39
GOOG,"Feb 2, 2018",55.6
GOOG,"Feb 5, 2018",52.79
GOOG,"Feb 6, 2018",54.03
GOOG,"Feb 7, 2018",52.43
GOOG,"Feb 8, 2018",50.08
GOOG,"Feb 9, 2018",51.89
GOOG,"Feb 12, 2018",52.6
GOOG,"Feb 13, 2018",52.61
GOOG,"Feb 14, 2018",53.49
GOOG,"Feb 15, 2018",54.48
GOOG,"Feb 16, 2018",54.74
GOOG,"Feb 20, 2018",55.12
GOOG,"Feb 21, 2018",55.57
GOOG,"Feb 22, 2018",55.33
GOOG,"Feb 23, 2018",56.34
GOOG,"Feb 26, 2018",57.19
GOOG,"Feb 27, 2018",55.91
GOOG,"Feb 28, 2018",55.24
GOOG,"Mar 1, 2018",53.48
GOOG,"Mar 2, 2018",53.95
GOOG,"Mar 5, 2018",54.55
GOOG,"Mar 6, 2018",54.75
GOOG,"Mar 7, 2018",55.48
GOOG,"Mar 8, 2018",56.3
GOOG,"Mar 9, 2018",58
GOOG,"Mar 12, 2018",58.23
GOOG,"Mar 13, 2018",56.91
GOOG,"Mar 14, 2018",57.47
